-0.322,-0.073,0.085
-0.321,-0.075,0.089
-0.321,-0.077,0.092
-0.321,-0.079,0.095
-0.321,-0.081,0.097
-0.321,-0.082,0.097
-0.320,-0.082,0.097
-0.319,-0.083,0.096
-0.318,-0.083,0.094
-0.318,-0.083,0.090
-0.318,-0.082,0.085
-0.318,-0.081,0.079
-0.318,-0.081,0.072
-0.318,-0.080,0.065
-0.317,-0.079,0.057
-0.317,-0.078,0.051
-0.316,-0.079,0.046
-0.316,-0.079,0.042
-0.316,-0.079,0.041
-0.316,-0.080,0.041
-0.316,-0.081,0.041
-0.317,-0.082,0.041
-0.317,-0.082,0.041
-0.318,-0.082,0.040
-0.320,-0.080,0.036
-0.323,-0.077,0.032
-0.326,-0.074,0.028
-0.330,-0.070,0.023
-0.332,-0.067,0.020
-0.333,-0.066,0.018
-0.334,-0.065,0.017
-0.335,-0.064,0.017
-0.335,-0.064,0.017
-0.335,-0.064,0.017
-0.335,-0.064,0.017
-0.336,-0.064,0.018
-0.336,-0.064,0.018
-0.336,-0.064,0.019
-0.336,-0.064,0.020
-0.336,-0.064,0.020
-0.336,-0.064,0.021
-0.336,-0.064,0.021
-0.336,-0.064,0.022
-0.336,-0.064,0.022
-0.336,-0.064,0.023
-0.336,-0.064,0.023
-0.336,-0.064,0.023
-0.336,-0.064,0.023
-0.336,-0.064,0.023
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.336,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.065,0.024
-0.337,-0.065,0.024
-0.337,-0.065,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.064,0.024
-0.337,-0.065,0.029
-0.338,-0.065,0.034
-0.338,-0.065,0.041
-0.338,-0.066,0.049
-0.338,-0.067,0.057
-0.338,-0.068,0.064
-0.339,-0.069,0.071
-0.339,-0.070,0.077
-0.338,-0.072,0.082
-0.338,-0.073,0.086
-0.337,-0.075,0.090
-0.337,-0.077,0.093
-0.337,-0.078,0.095
-0.336,-0.080,0.096
-0.336,-0.081,0.097
-0.336,-0.083,0.097
-0.335,-0.084,0.095
-0.335,-0.085,0.093
-0.335,-0.085,0.089
-0.334,-0.084,0.084
-0.334,-0.084,0.077
-0.334,-0.083,0.070
-0.335,-0.082,0.062
-0.335,-0.081,0.055
-0.335,-0.080,0.049
-0.335,-0.080,0.044
-0.335,-0.080,0.041
-0.335,-0.081,0.040
